City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,2021-12-05 22:53:07,-34.4187,19.2345,60.91,94,100,10.36,light rain
1,Calamar,CO,2021-12-05 22:53:07,10.2511,-74.9146,84.15,76,43,8.43,scattered clouds
2,Kodiak,US,2021-12-05 22:53:08,57.79,-152.4072,34.07,84,100,13.33,overcast clouds
3,Cherskiy,RU,2021-12-05 22:53:08,68.75,161.3,-46.23,100,86,4.12,overcast clouds
4,Punta Arenas,CL,2021-12-05 22:52:21,-53.15,-70.9167,55.51,41,20,20.71,few clouds
5,Ribeira Grande,PT,2021-12-05 22:53:08,38.5167,-28.7,63.93,73,72,7.83,broken clouds
6,Sabang,ID,2021-12-05 22:50:41,5.8933,95.3214,81.0,77,90,14.34,overcast clouds
7,Morgan City,US,2021-12-05 22:53:09,29.6994,-91.2068,75.2,78,20,4.61,few clouds
8,Mataura,NZ,2021-12-05 22:53:09,-46.1927,168.8643,54.48,47,92,5.06,overcast clouds
9,Dharchula,IN,2021-12-05 22:53:09,29.85,80.5333,51.24,83,86,5.86,overcast clouds
10,Kruisfontein,ZA,2021-12-05 22:53:10,-34.0033,24.7314,62.89,92,73,10.11,broken clouds
11,Lavrentiya,RU,2021-12-05 22:53:10,65.5833,-171.0,29.25,96,100,19.08,snow
12,Hithadhoo,MV,2021-12-05 22:53:11,-0.6,73.0833,81.27,78,100,12.3,overcast clouds
13,Kahului,US,2021-12-05 22:53:11,20.8947,-156.47,75.85,83,90,4.61,moderate rain
14,Castro,BR,2021-12-05 22:53:11,-24.7911,-50.0119,63.46,90,88,3.58,overcast clouds
15,Caibarien,CU,2021-12-05 22:53:12,22.5206,-79.4669,77.22,81,46,9.89,scattered clouds
16,Ambon,ID,2021-12-05 22:53:12,-3.6954,128.1814,80.74,78,40,10.36,scattered clouds
17,Qaanaaq,GL,2021-12-05 22:52:05,77.484,-69.3632,20.52,81,100,6.4,overcast clouds
18,Khatanga,RU,2021-12-05 22:53:13,71.9667,102.5,-22.14,100,97,6.8,overcast clouds
19,Guerrero Negro,MX,2021-12-05 22:53:13,27.9769,-114.0611,67.44,69,0,16.22,clear sky
20,Butaritari,KI,2021-12-05 22:51:44,3.0707,172.7902,80.82,83,100,11.97,moderate rain
21,Tazovskiy,RU,2021-12-05 22:53:13,67.4667,78.7,-13.59,87,68,15.55,broken clouds
22,Ushuaia,AR,2021-12-05 22:51:42,-54.8,-68.3,49.66,57,40,28.77,scattered clouds
23,Busselton,AU,2021-12-05 22:51:54,-33.65,115.3333,61.05,67,58,17.4,broken clouds
24,Codrington,AU,2021-12-05 22:50:50,-38.2667,141.9667,70.02,41,99,10.29,overcast clouds
25,Kavaratti,IN,2021-12-05 22:53:14,10.5669,72.642,80.69,72,60,12.48,broken clouds
26,Tuatapere,NZ,2021-12-05 22:50:08,-46.1333,167.6833,54.82,51,84,6.85,broken clouds
27,Alofi,NU,2021-12-05 22:53:14,-19.0595,-169.9187,80.49,78,71,19.57,light rain
