City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Calamar,CO,84.15,scattered clouds,10.2511,-74.9146,Hostal Katyalex
6,Sabang,ID,81.0,overcast clouds,5.8933,95.3214,Hotel Citra
12,Hithadhoo,MV,81.27,overcast clouds,-0.6,73.0833,Scoop Guest House
16,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
20,Butaritari,KI,80.82,moderate rain,3.0707,172.7902,Isles Sunset Lodge
25,Kavaratti,IN,80.69,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
27,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
29,Takoradi,GH,80.56,scattered clouds,4.8845,-1.7554,Raybow International Hotel
69,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
70,Cabo San Lucas,MX,81.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
81,Kavieng,PG,82.63,moderate rain,-2.5744,150.7967,Nusa Island Retreat
84,Namatanai,PG,80.82,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
89,Santa Maria,BR,81.7,few clouds,-29.6842,-53.8069,Hotel Morotin
92,Kapaa,US,78.48,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
97,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
99,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
102,San Policarpo,PH,79.43,broken clouds,12.1791,125.5072,Agapita M. Nicart
103,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
105,Hilo,US,79.29,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
112,Ixtapa,MX,81.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
132,Santa Fe,AR,80.01,light rain,-31.6333,-60.7,Conquistador Hotel
133,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
143,Suba,PH,80.62,broken clouds,10.8438,121.0102,Jarnchi Pension House
145,Gold Coast,AU,80.78,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
146,Labuhan,ID,78.49,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
153,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
173,Port Blair,IN,78.39,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
175,Sorong,ID,81.14,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
176,Atuona,PF,78.46,clear sky,-9.8,-139.0333,Villa Enata
186,Cotonou,BJ,84.18,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
201,Iguatemi,BR,81.16,overcast clouds,-23.6803,-54.5611,Hotel Seriema
204,Puerto Escondido,MX,83.88,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
213,Bangkalan,ID,78.75,overcast clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
223,Merauke,ID,81.23,overcast clouds,-8.4667,140.3333,
227,Avarua,CK,82.45,moderate rain,-21.2078,-159.775,Paradise Inn
